,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,148905,1800.9301451445,463,607,0.76276771,1.8873845741,21.781332982,30.8901412533,36.0275520166,28.7253599976,57.8437806856,65.4706698685,54.4722452153,14.5700499383,0.9975365046,0.8367255592,3.5154587362
0,295133,2917.2631859779,1080,491,2.199592668,1.7967492622,28.8358960071,40.6389285496,53.3338657026,26.2020303252,50.9351010453,60.4380473905,45.7419863099,23.0439245587,0.9983448462,0.8084923594,5.1528286412
0,103068.5,1497.2173770666,246,607,0.4052718287,1.4487646565,21.7492238093,17.9785938739,22.4320077491,16.7738483129,43.0333764763,51.8359375956,41.3769388708,8.7071889931,0.9983957358,0.9247255637,2.2263428296
0,86701,1488.6072071791,221,607,0.3640856672,1.5472370561,25.5585450833,12.7026664226,18.3429678443,9.3519982915,36.2903635573,47.3703164412,33.0618847192,18.6072530043,0.9967009929,0.9112816458,2.0968770496
0,102394,1832.7981123924,382,607,0.629324547,2.2645272184,32.8061109126,26.1266062603,30.7895615962,14.9530386235,61.05172057,69.0309058899,42.7382527698,19.7638985228,0.9953091971,0.8639490994,2.919868418
0,112399.5,1878.5941394568,532,607,0.8764415157,2.8730021041,31.3979683255,21.0844819696,24.4480993349,16.0192446153,51.1349063206,57.0483006726,43.0047317708,14.3388473293,0.9980284144,0.9165773225,2.61456327
0,151076,2268.7089244127,778,607,1.2817133443,3.1258836612,34.0692114149,18.5171868326,21.5976035756,13.0796967478,43.0363137051,46.8144100442,37.1018791006,26.1091263002,0.9979888796,0.8943078508,3.3120920024
0,280625.5,2271.3595174551,584,607,0.9621087315,1.263206658,18.3841955116,36.7986042468,45.5012813472,39.2058026725,49.9286192737,57.3072213061,50.5767880786,20.1102232618,0.9985092337,0.7937041086,5.252675091
0,443,81.1126976013,22,27,0.8148148148,1.3408577878,14.8516246324,36.4212383306,44.1923439502,13.5767206663,49.3196261355,52.6513824391,43.4541884259,23.8165968557,0.9987881419,0.8078651564,5.8242851867
0,372101,3348.5180188418,1080,543,1.9889502762,1.576023714,30.13314375,61.9504728782,90.4529425224,20.6944047837,60.2489250038,77.9229454637,44.6765167277,11.4370304763,0.998862648,0.8065641457,6.5046215357
0,341823,2838.8367772102,989,607,1.629324547,1.7562393402,23.5765125449,62.129719629,76.3850128135,61.9637393984,62.9494408029,74.114085808,63.5380462135,24.489024877,0.9971404995,0.6914255326,6.4642523348
0,202974.5,2795.3292016983,1080,543,1.9889502762,2.8892299279,38.4967833194,40.7452193544,47.3800048813,22.9010876197,62.4114228086,70.4513578301,43.6649430883,14.6421283544,0.9980713384,0.8601368911,4.0777009599
0,95652.5,1478.4478275776,227,607,0.373970346,1.4405164528,22.851550967,11.3426932699,13.407431814,9.095966807,32.5905821201,35.685166657,29.413017324,18.3765386869,0.9978745718,0.9230892002,2.1530687838
0,96885.5,1681.540314436,420,607,0.6919275124,2.6313535049,29.1847369222,15.5306928428,21.6734349259,9.3001494905,40.0287619767,51.8807172114,33.0146378281,11.5918734095,0.9980566827,0.9230339723,2.2377242347
0,351760,2966.9789149761,1080,607,1.7792421746,1.8636570389,25.0254829484,47.0775962536,67.2129614375,13.5682012325,50.4343950848,67.1222841359,37.3566111451,24.0053576628,0.9981630265,0.7231952555,6.3201553054
0,30.5,27.0710676908,12,5,2.4,1.9672131148,24.0276297024,26.1523399841,29.314907865,28.3858289096,51.6950582463,55.4816345724,57.1502856326,20.5956873861,0.9980848853,0.8505511954,3.8488987807
0,145598.5,2674.9616689682,1080,423,2.5531914894,3.1376696875,49.1448739544,28.1234395021,34.3935444505,28.887487034,55.922682708,65.288032611,56.1105224425,17.9459038171,0.9973834417,0.8891238531,3.2201610096
0,65616.5,1455.7716388702,146,607,0.2405271829,1.3506054117,32.2978376558,14.2844606138,17.4531148941,9.2014491427,44.7755900743,52.1738579874,33.2904784977,8.0983086079,0.9972752344,0.9379971051,1.7300377847
0,139241,1932.1017183066,528,607,0.8698517298,2.3017358393,26.8097546691,29.8221978156,39.7189471597,12.6597656965,58.1479298772,75.1439278559,35.7919730477,8.5237912439,0.9979481043,0.9023740554,2.8610541109
0,65081,1427.2691136599,174,607,0.2866556837,1.622869962,31.3009499363,7.0203047776,8.1544481054,4.520535115,27.1012317046,29.429139388,24.4514335551,19.9828286485,0.9972165125,0.9491640882,1.5655936139
0,113556.5,2075.9566203356,667,607,1.0988467875,3.56535293,37.951115872,13.1509106718,15.7861507719,8.8559613155,36.6297009106,39.7853442662,35.5292002802,25.7850187521,0.9976377174,0.9211619814,2.4383417483
0,209237,2559.9351962805,1080,323,3.3436532508,1.6672003518,31.3198344899,39.1909054854,43.9096284093,37.5174125938,60.2919712854,65.6666945193,57.8874513331,13.8382415343,0.9984393956,0.7918739835,4.6531564002
0,86217,1509.8174498081,352,561,0.6274509804,2.2904067643,26.4396665593,13.4183995363,17.1559582647,8.6771981207,38.2771000937,46.3440159243,31.9767982015,23.2296192921,0.9961202268,0.9198405743,2.1101616708
0,229043,2072.3859872818,593,607,0.9769357496,1.5715433347,18.7509929589,41.232457746,54.2718317164,34.294690036,59.1177113209,74.3807040061,51.7942799187,11.1464501185,0.9985225066,0.8341837595,4.4500423655
