,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,165770.5,1777.6925529241562,713,324,2.200617283950617,1.3935652000808347,19.06365012304363,25.93002623711026,29.652478796753922,19.150570504606748,47.65233829192252,52.957660931360465,39.06142167562356,46.39068336261599,0.9950118065352913,0.825526003202839,3.6528423550976457
0,199005.0,1910.5281257629395,724,380,1.9052631578947368,1.3824778271902716,18.341839246909625,37.15831502837269,51.81139636341449,29.044671731039113,59.44933660665075,78.60218340930646,50.62085550686164,57.518280340762395,0.9902106642592472,0.7369920353724275,4.71602421031667
0,206395.5,2364.5108798742294,723,414,1.7463768115942029,1.4502351068700625,27.08834107838399,33.223386112636526,44.78500518640551,19.882897065104643,55.40702953543707,68.21628414537119,51.7233432892558,57.51758363866301,0.9949397188873892,0.7734029328329459,4.915765177202401
0,156571.0,1745.4499151706696,658,338,1.9467455621301775,1.420467391790306,19.458235601543695,26.725295930197085,37.509538409909084,10.765640063457196,52.490779750449136,67.89572606556223,36.44679175631582,35.775034395548396,0.9952997390641513,0.8731714992341397,3.513145911337528
0,141937.5,1619.5748097896576,569,403,1.411910669975186,1.6155490973139586,18.48012374816525,32.81537921776801,40.34839526511685,21.7296921715785,63.29046001266551,75.6225772163123,49.87730252612044,18.97942248278115,0.9949824527782836,0.8554648013823672,3.2350174015523274
0,235691.0,2628.694643855095,859,453,1.8962472406181015,1.651004917455482,29.318198533811067,38.922153578619806,53.406936054670815,36.36947495271219,57.925750900625125,68.98019893190433,57.67891275214513,52.877911122112785,0.9959406452782142,0.7068526035887948,6.050862940865265
0,128820.5,1549.006263256073,404,512,0.7890625,1.6057071661730857,18.626075846674578,22.112140765147355,29.014918542925134,19.244865458539262,48.13238268566226,59.282456896411745,48.19527166410879,39.82925163883335,0.9940721663124195,0.8315915306287955,3.3779082010161807
0,325406.5,2366.202222943306,871,470,1.853191489361702,1.258026499163354,17.205903876726012,53.02681219110379,76.46865275489658,25.80755994874611,59.12456713701365,78.82854808382955,48.63368415832074,45.57871798882446,0.9953294871995475,0.7345418011769386,6.220642731307857
0,215556.0,1932.3027284145355,757,370,2.045945945945946,1.2993839187960436,17.321688258449118,41.96523735432302,48.08982701812191,38.62991640734639,64.46299781364938,70.55859989334834,63.44098038387309,38.220313854752,0.9951683885836412,0.7519784780822354,4.875719870912525
0,191498.0,1951.533174753189,740,391,1.8925831202046035,1.5109296180638963,19.887840772030316,35.653686924156446,49.752118799194584,35.4912746354262,58.76929778088456,76.52303388414904,60.18819239188914,59.774656342587704,0.9909767617982006,0.7338551881959532,4.859935582226262
