,area,perimeter,physiological_length,physiological_width,aspect_ratio,rectangularity,circularity,mean_r,mean_g,mean_b,stddev_r,stddev_g,stddev_b,contrast,correlation,inverse_difference_moments,entropy
0,280765.0,4283.301849365234,978,607,1.6112026359143328,2.1143874770715723,65.3453056213404,31.060769418512418,38.240296845445116,23.240450912197204,48.717211525331905,53.81307147240824,49.75363650201537,86.60034202763845,0.9947653731327739,0.7698341609344534,4.920391725763575
0,301302.5,4069.280430674553,1080,546,1.978021978021978,1.957102911525792,54.95820055748251,25.588579229971323,30.355216913783636,20.98028555738605,46.09970568184239,48.29722220958586,47.01759671802449,159.64505192972,0.9920244532442548,0.7248900201502638,5.301016901229543
0,257957.0,3713.18410217762,952,607,1.5683690280065898,2.240156305120621,53.449746185079746,21.133487400085425,25.3246705107084,15.22152510830435,38.01486356423993,40.88086460583338,38.23339962011852,105.32710381984609,0.9947697616664187,0.6999734561339637,5.136043376325405
0,172007.0,3057.8561087846756,591,607,0.9736408566721582,2.0855953536774665,54.36106659631153,18.003009640612607,21.182296052230154,16.810032643846483,44.75212831116939,46.61639768093999,45.07220350631498,107.58028021157409,0.991793537144435,0.8251796457960012,3.5275098554609503
0,103282.0,2009.9351955652237,328,607,0.5403624382207578,1.9276931120621212,39.11465202428123,9.318930380133017,10.919334614680578,9.330410641283787,33.41327378121123,34.10644123774085,36.217683719833914,71.31472895952194,0.9930419134325624,0.9096364588857047,2.1111500291865495
0,98684.0,2125.391040802002,338,607,0.556836902800659,2.079019901909124,45.7752733606402,11.302979132344866,12.679127768625298,11.160261455854537,38.33162721298061,38.7094652506298,40.65546833621139,82.36549677036668,0.9905905074193189,0.9014840225851422,2.1309479998221788
0,215173.0,3104.434756875038,644,607,1.0609555189456343,1.816714922411269,44.7896118922624,35.08382909268412,49.37310086033315,43.53196656293856,59.148984347994606,75.09773093525064,67.62004331302668,82.45011489138949,0.9874682325632955,0.8070376326552358,4.094765747149879
0,317612.0,4289.620609164238,1080,529,2.041587901701323,1.798798534060426,57.93498032368603,33.02591372261883,39.872045274269325,26.428956922325952,52.26223140975148,55.50083502564337,50.985434668554944,159.34524397288067,0.9909208192389856,0.6868401773549968,5.664878646620297
0,50481.0,1197.4701229333878,323,246,1.3130081300813008,1.5740179473465263,28.405433634795326,6.369110378912685,6.666874122887302,6.1227469644273596,30.98667316332148,30.820697715157422,31.600367332789837,58.391850534004405,0.983826386447589,0.9475798477758086,1.1177425039888427
0,123996.5,2256.638731122017,376,607,0.6194398682042833,1.840632598500764,41.06904922961524,11.334811458905364,13.025302031850632,10.90622521203246,34.87304274550238,36.13789309407314,37.26569611852552,86.77425177813801,0.9922746843404338,0.8650386447757628,2.580817336009315
0,125768.5,2343.5991941690445,400,574,0.6968641114982579,1.82557635655987,43.67116712777679,21.525726096772225,28.225511013484656,25.33719568002929,52.13811217977013,62.01108390974598,56.98945724393712,60.73833605837271,0.9876397105599827,0.864324175266835,2.7723610883648204
0,289234.5,3635.617644906044,964,607,1.588138385502471,2.0230919893719457,45.69895935634293,27.6162868387333,32.397862895844774,24.480012508389773,47.30440238173528,49.66629720616596,50.57569312829771,99.82123500768976,0.994887253785481,0.7567755266222388,5.328167618110218
0,116338.5,2091.016367673874,341,607,0.5617792421746294,1.7791788616837934,37.5829965994064,22.270701385075355,27.22271187991946,24.2112651778632,53.36298359037452,62.36830387327522,56.68771611888406,39.73399921382456,0.9890804249684095,0.8757164486760447,2.6062869095512404
0,99564.5,1863.3250242471695,342,491,0.6965376782077393,1.6865649905337745,34.87166757213379,11.88786686191958,12.872271035450607,11.14453444383428,38.11314866612693,39.09712675574466,39.21174329790717,80.4520010977595,0.9892698836951426,0.8984969861302706,2.141756343251009
0,36146.0,1007.4701235294342,264,275,0.96,2.0085209981740717,28.080452880108822,5.2851363719568,6.678921837818049,5.36145585453658,28.13509065142263,30.70766260982141,26.994448983008144,40.762704597803285,0.9847420129582937,0.9561530079800309,0.9434294766154274
0,102384.5,1725.4772647619247,344,473,0.7272727272727273,1.5892249315081872,29.079321491146544,18.288695161388738,24.281135212642628,20.81629904204039,48.3160130652807,59.732801392832805,52.72453275013521,40.51107864757711,0.9887075502526379,0.8872209589900623,2.41658934699963
0,40266.0,1054.7249553203583,281,286,0.9825174825174825,1.995877415188993,27.627396100321157,8.272730184880103,10.925,9.314297699676612,34.52604456812153,42.90920386687224,37.662816409938095,18.271144503315867,0.9867475978588192,0.9517387158792092,1.0660153792785825
0,159729.0,2442.3170071840286,660,492,1.3414634146341464,2.032943297710497,37.343953593776654,15.417304289462445,21.880764537189577,18.778607602660323,40.63388008524211,46.14494063448615,43.40119462815212,52.90304663059307,0.9959234911353236,0.8773020751746603,2.996521882829286
0,224396.5,3810.4561775922775,779,607,1.2833607907742999,2.107220923677508,64.7050033371784,25.993182927573372,30.39906644700714,24.74825035084508,51.369706526648535,54.597674838139405,54.04267102904589,88.90861240645555,0.9940206692409266,0.8069096566232258,4.250149760686142
0,60918.0,1349.719901561737,330,339,0.9734513274336283,1.836403033586132,29.9048526325852,7.312229239123803,9.914419732747575,7.602397949844407,32.438305551153654,35.85351729010582,31.01413141281743,50.711181892412625,0.9898074903605996,0.9330470858107912,1.454929556413303
0,135542.5,2193.8346893787384,472,550,0.8581818181818182,1.9152664293487283,35.50849839955369,24.038794313258894,33.338742449203735,28.548282384526207,52.140541246964126,67.15527664077756,58.88513148285771,42.64384055541917,0.9906078549529921,0.8559857837065952,3.020196206291516
